DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
7932	0	31	16	124670	1	50632	48001
8046	15	31	15	124859	0	50634	48003

8209	328	16	313	124769	0	50635	48004
8137	63	15	62	125039	0	50633	48002
7986	15	16	16	124913	0	50632	48001
8219	32	15	31	124841	0	50634	48003
8109	125	15	125	124778	0	50635	48004
8010	234	16	235	125777	0	50635	48004
8370	94	16	94	125012	2	50633	48002
8272	0	31	15	125192	1	50632	48001
8404	0	47	16	125111	0	50634	48003

8182	312	16	281	125390	0	50635	48004
8428	79	15	78	125813	0	50633	48002
8478	15	16	16	125516	0	50634	48003
8442	31	16	31	125354	0	50632	48001
8209	235	15	234	124724	0	50631	48000
8386	109	16	110	125300	0	50633	48002
8533	47	16	47	125273	0	50635	48004
8163	31	16	31	125282	0	50631	48000
8140	110	15	109	126029	0	50631	48000
8249	142	15	142	125561	0	50631	48000
9025	78	15	78	124868	0	50634	48003

8292	31	16	32	125777	0	50631	48000
8369	111	16	111	125444	0	50631	48000
8430	94	15	93	125120	0	50631	48000
8355	93	16	94	125579	0	50631	48000
8387	99	13	96	125363	0	50631	48000
8461	107	15	109	124355	0	50631	48000
8488	93	16	94	124760	0	50631	48000
8547	94	16	94	124868	0	50631	48000
8526	112	15	111	125336	0	50631	48000
8487	93	16	94	125372	0	50631	48000
8363	110	15	109	125318	0	50631	48000

8425	94	15	94	125417	0	50631	48000
8417	93	16	94	125777	0	50631	48000
8493	110	15	109	124940	0	50631	48000
8557	98	15	98	125390	0	50631	48000
8619	94	16	95	125363	0	50631	48000
8614	95	15	94	125048	0	50631	48000
8556	109	16	110	125273	0	50631	48000
8484	94	15	93	124841	0	50631	48000
8559	109	16	110	125705	0	50631	48000
8587	94	16	94	124886	0	50631	48000

8647	94	15	93	125903	0	50631	48000
8723	109	16	110	124607	0	50631	48000
8784	94	15	93	125327	0	50631	48000
8760	109	16	110	125291	0	50631	48000
8687	94	16	94	124967	0	50631	48000
8761	109	16	109	125759	0	50631	48000
8656	94	16	94	124976	0	50631	48000
8684	94	16	94	125309	0	50631	48000
8726	109	16	109	125129	0	50631	48000
8787	94	16	94	124868	0	50631	48000

8862	109	16	109	124760	0	50631	48000
8856	94	16	94	125579	0	50631	48000
8916	94	16	94	124931	0	50631	48000
8993	109	16	109	125129	0	50631	48000
9021	94	16	94	125552	0	50631	48000
9083	100	12	96	125399	0	50631	48000
9159	106	16	110	125669	0	50631	48000
9220	94	15	93	125750	0	50631	48000
9296	109	16	110	125201	0	50631	48000
9355	94	15	93	125390	0	50631	48000

9384	94	15	94	125318	0	50631	48000
9392	109	16	110	124778	0	50631	48000
9453	94	15	93	125165	0	50631	48000
9480	93	16	94	124949	0	50631	48000
9491	110	15	109	125318	0	50631	48000
9550	94	15	94	125507	0	50631	48000
9476	93	16	94	125426	0	50631	48000
9523	113	15	112	125219	0	50631	48000
9582	93	16	94	125264	0	50631	48000
9611	95	16	95	125642	0	50631	48000

9688	109	16	109	125021	0	50631	48000
9647	94	16	94	124499	0	50631	48000
9708	94	16	94	125246	0	50631	48000
9718	110	15	109	125147	0	50631	48000
9743	94	15	94	125507	0	50631	48000
9742	96	16	97	125687	0	50631	48000
9752	110	15	109	125255	0	50631	48000
9679	94	15	94	124418	0	50631	48000
9572	93	16	94	125579	0	50631	48000
9614	110	15	109	125480	0	50631	48000
9675	93	16	94	125669	0	50631	48000

9582	141	16	141	126200	0	50631	48000
9511	63	15	62	126326	0	50631	48000
9586	109	16	110	125669	0	50631	48000
9648	95	15	94	126812	0	50631	48000
9725	109	16	110	125426	0	50631	48000
9751	94	16	94	126929	0	50631	48000
9827	109	16	109	127550	0	50631	48000
9889	94	16	94	126686	0	50631	48000
9967	113	15	112	126938	0	50631	48000
10027	93	16	94	127514	0	50631	48000

10104	110	16	110	128432	0	50631	48000
10165	94	15	93	127712	0	50631	48000
10241	109	16	110	128378	0	50631	48000
10169	97	16	97	127739	0	50631	48000
10148	110	15	109	128162	0	50631	48000
10207	93	16	94	128072	0	50631	48000
10167	94	16	94	127685	0	50631	48000
10247	112	16	112	128099	0	50631	48000
10142	94	15	93	127991	0	50631	48000
10218	109	16	110	127757	0	50631	48000

10245	94	16	94	127325	0	50631	48000
10319	109	16	109	126911	0	50631	48000
10246	94	16	94	125732	0	50631	48000
10323	110	16	110	125003	0	50631	48000
10351	94	16	94	125381	0	50631	48000
10378	94	15	93	124805	0	50631	48000
10420	109	16	110	124841	0	50631	48000
10380	94	16	94	125273	0	50631	48000
10440	158	15	157	124868	0	50631	48000
10419	46	16	47	125624	0	50631	48000

10480	94	16	94	124373	0	50631	48000
10475	95	16	95	124976	0	50631	48000
10552	110	15	109	125318	0	50631	48000
10612	94	15	94	124877	0	50631	48000
10688	109	16	110	125336	0	50631	48000
10748	94	15	93	124544	0	50631	48000
10809	94	15	94	124940	0	50631	48000

11022	547	15	547	124760	0	50635	48004
10723	33	16	34	124967	1	50633	48002
10656	0	31	15	125408	0	50632	48001
10853	31	16	16	125795	0	50634	48003
11480	94	16	94	124814	0	50631	48000
11470	156	16	156	124967	0	50631	48000
10853	49	16	49	124967	0	50635	48004
