Size	BytesSoFar	DeltaCreationEnqueue	DeltaEnqueue	DeltaStayedQueue	DeltaDequeue
1	1071682	1	35	9	31
1	1066426	1	33	8	32
1	1064905	1	33	7	32

2	1071988	1	53	18	64
2	2142770	1	16	2	64
1	1066300	1	31	4	33
1	1071646	1	34	16	46
1	1066687	1	33	14	31
1	1069045	1	32	16	34
1	1066642	1	35	12	31
1	1068874	1	33	10	31
1	1062331	1	33	12	35
1	1061755	1	34	8	30
1	1069513	1	33	7	32
1	1067632	1	33	7	33
1	1061503	1	33	5	31
1	1070323	1	34	4	33
1	1066255	1	32	3	31
1	1070332	1	35	15	47
1	1067299	1	32	16	33
1	1065652	1	34	14	32
1	1067515	1	34	13	33
1	1072024	1	33	12	32
1	1072006	2	33	10	31
1	1066894	1	33	8	31
1	1069819	1	33	8	33
1	1064617	1	33	7	32
1	1074814	1	35	4	32
1	1067659	1	32	4	32
1	1058839	1	33	2	31
1	1070422	1	36	15	49
1	1070107	1	32	15	32
1	1070809	1	32	14	31

1	1069576	1	34	10	30
1	1067272	1	36	8	34
1	1073005	1	30	9	31
1	1063411	1	35	5	31
1	1074976	1	39	17	51
1	1076047	1	27	20	30
1	1072258	1	34	17	31
1	1068442	1	33	18	34
1	1068469	1	33	16	31
1	1069873	1	35	12	31
1	1074553	1	32	15	35
1	1066903	1	33	13	31
1	1075021	1	34	12	33
1	1066939	1	33	10	31
1	1066507	1	33	8	31
1	1074850	1	35	4	31
1	1071601	1	32	6	34
1	1066804	1	32	5	31
1	1071943	1	35	16	46
1	1077766	1	33	15	32
1	1072645	1	33	15	33
1	1075786	1	34	13	32
1	1064860	1	33	14	34
1	1074436	1	33	12	31
1	1073302	1	34	9	31
1	1072717	0	32	10	33
1	1081150	1	33	8	31
1	1080340	1	35	6	33
1	1068451	1	33	4	31
1	1067623	1	33	3	32

1	1073941	1	34	5	36
1	1079098	0	33	16	44
1	1079305	1	33	16	33
1	1091455	1	34	13	31
1	1076074	1	33	12	32
1	1077658	1	33	11	32
1	1071466	1	33	10	32
1	1074148	1	33	9	32
1	1080448	1	33	6	30
1	1076083	2	35	4	33
1	1070548	1	33	2	31
1	1069891	1	32	3	33
1	1075894	0	34	16	47
1	1076902	1	34	15	33
1	1071790	1	32	14	31
1	1079314	1	35	12	33
1	1075957	1	32	12	32
1	1072087	1	33	12	33
1	1077280	1	35	8	31
1	1074589	1	32	8	32
1	1071979	2	35	5	32
1	1069954	1	33	5	33
1	1078279	1	32	5	32
1	1074130	1	33	4	32
1	1070332	1	35	16	47
1	1075561	1	32	15	31
1	1070026	1	33	14	32
1	1078738	1	35	10	31
1	1078711	1	32	11	33
1	1064005	1	33	9	31

1	1074049	1	34	11	36
1	1076515	1	33	7	29
1	1078018	1	34	5	32
1	1076191	0	33	6	34
1	1080322	1	34	1	29
1	1080547	1	33	17	49
1	1080556	1	33	16	32
1	1082437	0	33	14	31
1	1077172	1	33	16	35
1	1074994	1	35	11	30
1	1080898	0	32	10	31
1	1071925	1	33	10	33
1	1076794	1	34	7	31
1	1075642	1	34	7	34
1	1070341	1	33	6	32
1	1082887	1	34	1	29
1	1077505	1	34	16	49
1	1071187	1	32	16	32
1	1076335	1	35	14	33
1	1083103	1	32	13	31
1	1076695	0	32	12	31
1	1079836	1	35	11	34
1	1073041	1	33	9	31
1	1076659	1	33	10	34
1	1077118	1	34	7	31
1	1079980	1	33	6	32
1	1076290	1	33	3	30
1	1069063	1	34	0	31
1	1082797	1	34	14	48
1	1083472	1	32	15	33

1	1093354	1	34	16	35
1	1077838	0	32	11	27
1	1079575	1	34	11	34
1	1082248	1	35	23	47
1	1082986	1	32	22	31
1	1076254	1	33	7	18
1	1073770	1	35	3	31
1	1080961	1	32	3	32
1	1080691	1	33	2	32
1	1069954	1	34	17	49
1	1076092	1	33	15	31
1	1079134	1	33	15	33
1	1074670	1	34	13	32
1	1083562	1	33	13	33
1	1089484	1	33	12	32
1	1078063	1	34	8	30
1	1082842	1	32	7	31
1	1077217	1	33	6	32
1	1076542	1	34	4	32
1	1081906	1	33	4	33
1	1076713	1	33	3	32
1	1083787	1	35	15	47
1	1070962	1	32	15	32
1	1074193	1	34	15	34
1	1085659	1	34	12	31
1	1076452	1	33	10	31
1	1082401	1	33	11	34
1	1079683	1	35	7	31
1	1074958	1	32	7	32
1	1073167	1	33	7	33
1	1083148	1	34	3	30

1	1071925	1	33	1	31
1	1080511	1	34	1	34
1	1079503	0	33	16	48
1	1078324	1	33	14	31
1	1078459	1	33	13	32
1	1084768	1	34	18	39
1	1077784	1	34	10	26
1	1070836	1	31	9	30
1	1081033	1	34	7	32
1	1081654	0	33	6	32
1	1079098	1	33	6	33
1	1082275	1	35	2	31
1	1070404	1	33	1	32
1	1083427	0	32	17	48
1	1079971	1	35	13	31
1	1081456	1	33	14	34
1	1082203	1	33	11	30
1	1083922	1	34	11	34
1	1082554	1	32	11	32
1	1078351	0	33	8	30
1	1079413	1	34	5	31
1	1079728	1	33	5	33
1	1086748	1	33	4	32
1	1071907	1	35	2	33
1	1083607	1	33	0	31
1	1077622	1	32	17	49
1	1086217	1	35	14	32
1	1080808	1	32	13	31
1	1076686	1	34	12	33
1	1077658	1	33	11	32

1	1079611	1	33	8	30
1	1081654	1	33	8	33
1	1086820	1	35	4	31
1	1083238	1	33	6	35
1	1080088	1	32	5	31
1	1074373	1	35	14	44
1	1075651	1	33	15	34
1	1080070	1	32	15	32
1	1075003	1	34	14	33
1	1085488	1	33	12	31
1	1077361	1	33	10	31
1	1078945	0	34	9	33
1	1079170	1	34	7	32
1	1075165	1	32	8	33
1	1075975	1	35	4	31
1	1085695	1	33	3	32
1	1079566	1	33	1	31
1	1077532	1	34	1	34
1	1081690	1	32	17	48
1	1068892	1	34	15	32
1	1084570	1	34	12	31
1	1073455	1	33	13	34
1	1075426	1	33	11	31
1	1078252	1	34	8	31
1	1068361	1	33	7	32
1	1075795	1	33	5	31
1	1069441	1	34	5	34
1	1063528	1	33	4	32
1	1073806	1	33	3	32
1	1071871	1	34	17	48

1	1075417	0	33	14	30
1	1082707	1	32	15	33
1	1070062	1	34	14	33
1	1080358	2	34	11	31
1	1082320	1	32	11	32
1	1072483	1	34	8	31
1	1079827	1	33	7	32
