UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement
02.56.16.967	4	20.979020979021	48.1938941058941	360.634288886173	160.29	0.699999988079071	0.1	0	1000
02.56.18.009	4	23	52.68396	531.7168343952	267.9	0.699999988079071	0.05000001	0	1000
02.56.19.019	4	20.979020979021	48.1470689310689	758.96879142752	398.46	0.699999988079071	7.450581E-09	0	1000
02.56.20.029	4	24.975024975025	57.3772627372627	779.053429051276	599.24	0.699999988079071	0	0	1000
02.56.21.041	4	28.971028971029	66.1541658341658	1223.53375675288	810.24	0.699999988079071	0.05	0	1000
02.56.22.051	4	32	73.59348	667.219857352337	890.9	0.699999988079071	0	0	1000
02.56.23.062	4	31.968031968032	73.1157242757243	676.081463363759	871.49	0.699999988079071	0	0	1000
02.56.24.074	4	27.9441117764471	64.1528143712575	742.937034142379	837.99	0.699999988079071	0	0	1000
02.56.25.084	4	30.969030969031	71.2014785214785	677.550137366329	772.85	0.699999988079071	0	0	1000
02.56.26.094	4	30	69.02676	942.404603539348	718.8	0.699999988079071	0	0	1000
02.56.27.103	4	25	67.679808	878.124523561294	723.95	0.699999988079071	0	0	1000
02.56.28.114	4	17.982017982018	56.9630769230769	1109.35270600309	755.94	0.699999988079071	0.05	0	1000
02.56.29.123	4	15.984015984016	47.8226253746254	1716.09782123196	941.2	0.699999988079071	0.1	0	1000
02.56.30.133	4	29.97002997003	71.9449030969031	1869.54593281365	1258.73	0.699999988079071	0.15	0	1000
02.56.31.142	4	29.97002997003	69.1323716283716	1788.97603408145	1592.84	0.699999988079071	0.2	0	1000
02.56.32.154	4	25	57.107256	1702.00528433862	1762.33	0.699999988079071	0.25	0	1000
02.56.33.164	4	24.975024975025	57.2774985014985	1664.18668418026	1743.72	0.699999988079071	0.3	0	1000
02.56.34.174	4	25.974025974026	60.0657422577423	1608.88067175948	1753.58	0.699999988079071	0.35	0	1000
02.56.35.185	4	19	43.655208	1858.52310391999	1756.76	0.699999988079071	0.4	0	1000
02.56.36.194	4	17.982017982018	41.5055904095904	2107.78419748172	1809.87	0.699999988079071	0.45	0	1000
02.56.37.203	4	21.9560878243513	51.4508502994012	2193.03190682505	1898.08	0.699999988079071	0.5000001	0	1000
02.56.38.214	4	18.981018981019	44.2273006993007	2540.9508683168	1968.9	0.699999988079071	0.5500001	0	1000
02.56.39.224	4	14.985014985015	34.6022217782218	2063.32072223949	2034.86	0.699999988079071	0.6000001	0	1000
02.56.40.235	4	19.98001998002	46.3739460539461	1616.32707639029	2049.62	0.699999988079071	0.6500001	0	1000
02.56.41.245	4	15.984015984016	37.0713926073926	1425.16938378659	1997.74	0.699999988079071	0.7000001	0	1000
02.56.42.255	4	17.982017982018	41.7062697302697	947.540763551422	1885.21	0.699999988079071	0.6500001	0	1000
02.56.43.266	4	16.983016983017	39.5463176823177	94.0642794320484	1604.57	0.699999988079071	0.6000001	0	1000
02.56.44.275	4	11.988011988012	28.249966033966	57.3045872417111	1365.51	0.699999988079071	0.5500001	0	1000
02.56.45.285	4	14.985014985015	35.2416623376623	294.937417063894	1089.18	0.699999988079071	0.5000001	0	1000
02.56.46.296	4	11.988011988012	28.411948051948	57.3265988287895	874.21	0.699999988079071	0.45	0	1000
02.56.47.306	4	12.987012987013	32.1541738261738	148.511126499375	661.33	0.699999988079071	0.4	0	1000
02.56.48.316	4	14	36.617664	401.580103390133	475.85	0.699999988079071	0.35	0	1000
02.56.49.326	4	16.983016983017	41.0417742257742	700.367975528221	354.57	0.699999988079071	0.3	0	1000
02.56.50.337	4	24.9500998003992	57.6625389221557	1188.56972675265	371.87	0.699999988079071	0.35	0	1000
02.56.51.347	4	15.984015984016	36.6685954045954	677.951959294196	456	0.699999988079071	0.3	0	1000
02.56.52.358	4	11.988011988012	27.4168951048951	848.30462297747	521.65	0.699999988079071	0.25	0	1000
02.56.53.368	4	17.982017982018	42.4665494505495	925.81358856478	645.06	0.699999988079071	0.2	0	1000
02.56.54.378	4	16.983016983017	40.0105414585415	969.142129559435	778.99	0.699999988079071	0.15	0	1000
02.56.55.388	4	17.982017982018	42.0819500499501	1751.44357641941	913.28	0.699999988079071	0.2	0	1000
02.56.56.399	4	14.985014985015	35.2644635364635	1580.87458101394	1079.62	0.699999988079071	0.25	0	1000
02.56.57.410	4	18.981018981019	43.9403076923077	1735.79040772674	1246.42	0.699999988079071	0.3	0	1000
02.56.58.420	4	16.983016983017	39.3237002997003	2043.96149161371	1490.35	0.699999988079071	0.35	0	1000
02.56.59.429	4	16.983016983017	38.9704615384615	2388.54288469519	1747.49	0.699999988079071	0.4	0	1000
02.57.00.440	4	17.982017982018	40.5215424575425	2672.14055036868	1988.58	0.699999988079071	0.45	0	1000
02.57.01.450	4	20.979020979021	47.4572787212787	2817.50727044676	2242.08	0.699999988079071	0.5000001	0	1000
02.57.02.461	4	19.98001998002	46.2264935064935	2613.69468500995	2484.29	0.699999988079071	0.5500001	0	1000
02.57.03.470	4	17.982017982018	42.3167952047952	2637.42752223553	2611.48	0.699999988079071	0.6000001	0	1000
02.57.04.482	4	18	42.333912	2854.37332009875	2732.37	0.699999988079071	0.6500001	0	1000
02.57.05.492	4	15.984015984016	37.5082837162837	3267.65275101468	2855.19	0.699999988079071	0.7000001	0	1000
02.57.06.501	4	20.979020979021	49.0847952047952	2974.651614282	2933.67	0.699999988079071	0.7500001	0	1000
02.57.07.511	4	21.978021978022	51.2033166833167	2165.92140964304	2950.65	0.699999988079071	0.8000001	0	1000
02.57.08.523	4	23.976023976024	55.7251948051948	1894.56958718449	2700.31	0.699999988079071	0.8500001	0	1000
02.57.09.534	4	9.99000999000999	23.1542457542458	47.2748427059436	2416.63	0.699999988079071	0.8000001	0	1000
02.57.10.544	4	4	9.188448	47.7694259934086	2293.37	0.699999988079071	0.7500001	0	1000
02.57.11.557	4	5.98802395209581	13.7450299401198	49.5792486033679	2105.23	0.699999988079071	0.7000001	0	1000
