UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement
02.28.14.177	7	0	0	254005381	508010762	0.5	0	0	0
02.28.14.181	11	0	0	0	0	0.5	0	0	0
02.28.15.191	3	28.971028971029	90.3752247752248	54.8766922010455	42.43	0.5	0	0	0
02.28.15.195	7	0	0	254005381	508010762	0.5	0	0	0
02.28.15.200	11	0	0	0	0	0.5	0	0	0
02.28.16.210	3	29.97002997003	93.4759240759241	28.1434426137743	35.45	0.5	0.05	0	25
02.28.16.214	7	0	0	254005381	508010762	0.5	0.05	0	25
02.28.16.218	11	0	0	0	0	0.5	0	0	25
02.28.17.229	3	27.972027972028	87.1006033966034	39.1938010363717	34.74	0.5	0.1	0	25
02.28.17.233	7	0	0	254005381	508010762	0.5	0.1	0	25
02.28.17.238	11	0	0	0	0	0.5	0	0	25
02.28.18.247	3	27.972027972028	87.1364955044955	51.2278740409646	35.01	0.5	0.15	0	25
02.28.18.251	7	0	0	254005381	508010762	0.5	0.15	0	25
02.28.18.256	11	0	0	0	0	0.5	0	0	25
02.28.19.265	3	23.976023976024	74.5993366633367	38.1889925138875	35.48	0.5	0.2	0	25
02.28.19.270	7	0	0	254005381	508010762	0.5	0.2	0	25
02.28.19.276	11	0	0	0	0	0.5	0	0	25
02.28.20.285	3	25.974025974026	80.9384775224775	32.872069516696	38.14	0.5	0.25	0	25
02.28.20.290	7	0	0	254005381	508010762	0.5	0.25	0	25
02.28.20.294	11	0	0	0	0	0.5	0	0	25
02.28.21.302	3	24	74.6892	39.870396299244	38.26	0.5	0.3	0	25
02.28.21.307	7	0	0	254005381	508010762	0.5	0.3	0	25
02.28.21.312	11	0	0	0	0	0.5	0	0	25
02.28.22.320	3	18.981018981019	58.9135024975025	35.4582517059256	40.73	0.5	0.35	0	25
02.28.22.324	7	0	0	254005381	508010762	0.5	0.35	0	25
02.28.22.329	11	0	0	0	0	0.5	0	0	25
02.28.23.338	3	1.998001998002	1483.80615384615	43.7291258529628	40.72	0.5	0.4	0	25
02.28.23.343	7	0	0	254005381	508010762	0.5	0.4	0	25
02.28.23.348	11	0	0	0	0	0.5	0	0	25
02.28.24.355	3	0	0	43.7291258529628	40.72	0.5	0.45	0	25
02.28.24.359	7	0	0	254005381	508010762	0.5	0.45	0	25
02.28.24.363	11	0	0	0	0	0.5	0	0	25
02.28.25.373	3	0	0	43.7291258529628	40.72	0.5	0.5000001	0	25
02.28.25.377	7	0	0	254005381	508010762	0.5	0.5000001	0	25
02.28.25.381	11	0	0	0	0	0.5	0	0	25
02.28.26.391	3	0	0	43.7291258529628	40.72	0.5	0.5500001	0	25
02.28.26.395	7	0	0	254005381	508010762	0.5	0.5500001	0	25
02.28.26.399	11	0	0	0	0	0.5	0	0	25
