DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
32	25	4	28	185474	0	53729	48004
39	41	2	39	161840	0	53729	48004
17	10	3	11	144875	0	53728	48003
14	31	1	29	131348	0	53729	48004
29	49	3	51	120359	0	53729	48004
40	43	2	42	112781	0	53729	48004
11	5	2	5	108218	0	53728	48003
11	33	3	34	105374	0	53729	48004
21	43	5	45	103628	0	53729	48004

38	51	1	47	102746	0	53729	48004
7	2	4	5	101036	0	53728	48003
10	36	1	33	98516	0	53729	48004
17	42	5	46	94088	0	53729	48004
32	47	4	46	88886	0	53729	48004
4	4	6	6	83828	0	53728	48003
6	37	2	33	79337	0	53729	48004
17	44	2	44	75233	0	53729	48004
31	47	5	50	71660	1	53729	48004
-1	2	9	6	68357	0	53728	48003
1	35	4	30	64865	0	53729	48004
14	46	5	47	60464	0	53729	48004
21	41	4	40	56855	0	53729	48004
36	48	2	46	53849	1	53729	48004
4	1	6	5	50816	0	53728	48003
11	41	6	41	47261	0	53729	48004
18	40	1	35	45164	0	53729	48004
31	46	2	47	44030	1	53729	48004
-2	1	6	5	42806	0	53728	48003
5	42	4	40	43319	0	53729	48004
18	43	5	44	43598	0	53729	48004
34	50	2	47	44624	0	53729	48004
4	3	6	7	47603	0	53728	48003
9	38	1	33	50303	0	53729	48004
19	45	2	46	53354	0	53729	48004
32	45	2	45	57089	0	53729	48004
1	3	5	6	61940	0	53728	48003
8	41	3	39	67115	0	53729	48004
24	49	5	51	73316	0	53729	48004
38	46	1	42	78815	0	53729	48004
8	5	2	6	85754	0	53728	48003

7	32	4	34	91928	0	53729	48004
22	48	2	46	97706	0	53729	48004
39	51	2	51	102386	0	53729	48004
10	5	3	6	107246	0	53728	48003
7	31	4	32	110864	0	53729	48004
21	46	4	46	114248	0	53729	48004
33	45	5	46	117200	0	53729	48004
6	6	4	5	119504	0	53728	48003
5	33	2	31	121610	0	53729	48004
30	57	3	58	124472	0	53729	48004
30	33	4	34	127811	0	53729	48004
44	49	5	50	132779	1	53729	48004
14	3	8	6	139304	0	53728	48003
19	37	5	34	150824	0	53729	48004
31	46	4	45	166799	0	53729	48004
46	49	1	46	189659	0	53729	48004
26	13	5	17	218675	0	53728	48003
28	36	4	35	251867	0	53729	48004
44	48	1	45	285248	0	53729	48004
54	44	4	47	317720	0	53729	48004
46	28	5	29	348509	0	53728	48003
52	38	1	34	380387	0	53729	48004
69	50	2	51	411185	0	53729	48004
65	30	1	29	436394	0	53728	48003
67	35	3	37	451901	0	53729	48004
67	33	3	33	463160	0	53728	48003

183	151	5	153	480674	0	53729	48004
209	57	6	58	498629	0	53728	48003
229	54	4	52	524720	0	53729	48004
237	42	4	42	556598	0	53728	48003
243	39	5	40	582869	0	53727	48002
261	52	4	51	607196	0	53726	48001
273	51	4	51	633800	0	53725	48000
292	79	4	79	644681	0	53729	48004
303	46	5	47	638165	0	53728	48003
315	44	1	40	635816	0	53727	48002
327	113	1	113	515774	0	53728	48003
319	24	6	29	379955	0	53727	48002
445	60	4	58	609113	0	53729	48004
622	10	6	12	646445	1	53725	48000
492	4	8	6	630200	1	53726	48001
