Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	UTC
4	21.9341974077767	66.3416709870389	1562.85201970711	1370.11	0.5	0.2	11.24.54.184
4	19.9203187250996	60.1469402390438	3916.17399678423	1430.86	0.5	0.2	11.24.55.189
4	21.8905472636816	65.584	1517.08315666866	1538.14	0.5	0.2	11.24.56.194
4	19.8609731876862	59.9857000993049	1650.87053732069	1614.93	0.5	0.4	11.24.57.201
4	19.98001998002	59.2542497502497	3989.37509673621	1909.33	0.5	0.4	11.24.58.203
4	20.9371884346959	63.7863290129611	1934.13370484118	2181.36	0.5	0.4	11.24.59.208
4	18.981018981019	57.8573106893107	1794.51591517201	2257.37	0.5	0.4	11.25.00.211
4	14.9105367793241	45.0421550695825	4180.35450375301	2378.31	0.5	0.4	11.25.01.219
4	16.9660678642715	43.7427065868263	2919.24715201574	2653.54	0.5	0.4	11.25.02.223
4	26.9192422731805	67.8490528414756	2197.39968553922	2522.59	0.5	0.4	11.25.03.226
4	23.8805970149254	60.3206686567164	3821.67781822681	2407.8	0.5	0.4	11.25.04.231
4	26	65.219448	1114.74684164988	2613.59	0.5	0.4	11.25.05.232
4	23.9282153539382	63.9252323030907	1167.48743247231	2106.87	0.5	0.4	11.25.06.236
4	22.9312063808574	67.6093399800598	546.278775331362	1795.02	0.5	0.4	11.25.07.239
4	22.9312063808574	65.2704526420738	728.605357441756	1500.94	0.5	0.4	11.25.08.244
4	19.98001998002	57.0754045954046	373.460195830039	812.25	0.5	0.6	11.25.09.246
4	21.9341974077767	60.8520119641077	6685.87671619179	1106.65	0.5	0.6	11.25.10.251
4	19.9600798403194	56.5788263473054	517.247224572594	1331.05	0.5	0.6	11.25.11.256
4	13.9720558882236	34.9938443113772	182.656318579851	1297.84	0.5	0.6	11.25.12.260
4	14.9700598802395	37.5408862275449	82.5454354296658	1170.49	0.5	0.6	11.25.13.263
4	12.9740518962076	34.6728383233533	111.579046073661	1108.5	0.5	0.6	11.25.14.265
4	12.9611166500499	36.7413439680957	100.69318591871	1077.2	0.5	0.6	11.25.15.269
4	8.96414342629482	25.1239123505976	87.5501820037475	991.52	0.5	0.6	11.25.16.273
4	11.9760479041916	33.6678323353293	89.3504761186533	767.86	0.5	0.6	11.25.17.276
4	12.987012987013	36.5429370629371	178.945233212417	269.67	0.5	0.6	11.25.18.279
4	11.9284294234592	33.6580675944334	85.1884631917023	157.8	0.5	0.6	11.25.19.285
4	14.9700598802395	42.5849101796407	91.7862053505366	110.4	0.5	0.6	11.25.20.289
4	9.9502487562189	28.3915940298507	95.4128771536626	109.54	0.5	0.6	11.25.21.296
4	7.99200799200799	22.8325354645355	97.2984878013815	109.41	0.5	0.6	11.25.22.300
4	12.9482071713147	36.8579282868526	72.3106261284058	109.24	0.5	0.6	11.25.23.304
4	10.9561752988048	31.1827888446215	77.8076930239571	107.01	0.5	0.6	11.25.24.310
4	10.989010989011	31.2404955044955	99.1296950127187	105.94	0.5	0.6	11.25.25.313
4	13.9720558882236	39.7045988023952	93.4283526425179	106.59	0.5	0.6	11.25.26.317
4	12.9740518962076	36.8282395209581	95.2900913516409	99.52	0.5	0.8	11.25.27.320
4	7.96812749003984	22.542	70.7251759596712	96.98	0.5	0.8	11.25.28.325
